vlc-plugin-vorbis 3.0.23_2-5.1
vlc-plugin-vpx 3.0.23_2-5.1
vlc-plugin-x264 3.0.23_2-5.1
vlc-plugin-x265 3.0.23_2-5.1
vlc-plugin-xml 3.0.23_2-5.1
vlc-plugin-zvbi 3.0.23_2-5.1
vlc-plugins-all 3.0.23_2-5.1
vlc-plugins-base 3.0.23_2-5.1
vlc-plugins-extra 3.0.23_2-5.1
vlc-plugins-video-output 3.0.23_2-5.1
vlc-plugins-visualization 3.0.23_2-5.1
vmaf 3.1.0-1.1
vulkan-icd-loader 1.4.350.0-1.1
vulkan-mesa-implicit-layers 2:26.1.1-1
vulkan-virtio 2:26.1.1-1
wayland 1.25.0-1.1
webrtc-audio-processing-1 1.3-5.1
wget 1.25.0-5.1
which 2.25-1.1
wildmidi 0.4.6-1.1
wireless-regdb 2026.03.18-1
wireplumber 0.5.14-1.1
wpa_supplicant 2:2.11-5.1
x264 3:0.165.r3222.b35605a-2.1
x265 4.1-1.1
xcb-proto 1.17.0-4
xcb-util 0.4.1-2.2
xcb-util-cursor 0.1.6-1.1
xcb-util-image 0.4.1-3.1
xcb-util-keysyms 0.4.1-5.1
xcb-util-renderutil 0.3.10-2.1
xcb-util-wm 0.4.2-2.1
xdg-desktop-portal 1.20.4-1.1
